label,class
bar crawls,PubCrawls
fishing,Fishing
bike tours,BikeTours
bingo,Bingo
happy hour,HappyHour
tour or class about local culture,TourOrClassAboutLocalCulture
canoeing,Canoeing
evening entertainment,EveningEntertainment
live sports events (broadcast),LiveSportsEventsBroadcast
diving,Diving
laundry service,LaundryService
laundromat nearby,LaundryService
spoken language,SpokenLanguage
english,English
spanish,Spanish
french,French
italian,Italian
arabic,Arabic
portuguese,Portuguese
russian,Russian
polish,Polish
romanian,Romanian
german,German
hungarian,Hungarian
greek,Greek
bicycle rental,BicycleRental
bicycle rental (additional charge),BicycleRental
drycleaning service,DrycleaningService
dry cleaning,DrycleaningService
ironing service,IroningService
ironing facilities,IroningService
trouser press,TrouserPress
suit press,SuitPress
pants press,PantsPress
babysitting,Babysitting
babysitter recommendations,Babysitting
currency exchange,CurrencyExchange
airport shuttle,AirportShuttle
airport drop off,AirportShuttle
airport pick up,AirportShuttle
airport shuttle (additional charge),AirportShuttle
concierge service,ConciergeService
24-hour front desk,24-HourFrontDesk
tour desk,TourDesk
checkout service,CheckoutService
room service,RoomService
reception,CheckinService
checkin service,CheckinService
express check-in/check-out,ExpressCheck-InCheck-Out
private check-in/check-out,PrivateCheck-InCheck-Out
in-room breakfast,In-roomBreakfast
car rental,CarRental
car hire,CarRental
house keeping,HouseKeeping
cleaning,HouseKeeping
daily housekeeping,DailyHousekeeping
invoice provided,InvoiceProvided
themed dinners,ThemedDinners
photocopying,Photocopying
grocery deliveries,GroceryDeliveries
packed lunches,PackedLunches
newspapers,Newspapers
wake-up service,Wake-UpService
wake up service/alarm clock,Wake-UpService
shuttle service,ShuttleService
ticket service,TicketService
tickets to attractions or shows,TicketsToAttractionsOrShows
public transport tickets,PublicTransportTickets
beauty service,BeautyService
body wrap,BodyWrap
make up services,MakeUpServices
body treatments,BodyTreatments
pedicure,Pedicure
waxing services,WaxingServices
facial treatments,FacialTreatments
light therapy,LightTherapy
manicure,Manicure
body scrub,BodyScrub
host greets you,HostGreetsYou
long term stays allowed,LongTermStaysAllowed
self check-in,SelfCheck-In
accessibility,Accessibility
facilities for disabled guests,Accessibility
lower bathroom sink,Accessibility
disabled access,DisabledAccess
entire unit wheelchair accessible,DisabledAccess
visual aids,VisualAids
visual aids (tactile signs),VisualAids
visual aids: tactile signs,VisualAids
visual aids (braille),VisualAids
upper floors accessible by stairs only,UpperFloorsAccessibleByStairsOnly
upper floors accessible by elevator,UpperFloorsAccessibleByElevator
auditory guidance,AuditoryGuidance
